,0
0,documents
1,"At the start of a big week for the Higgs boson, the most sought-after particle in all of physics, scientists in Illinois said Monday that they had crept closer to proving that the particle exists but had been unable to reach a definitive conclusion.The scientists outlined their final analysis based on more than 10 years of research and 500 trillion particle collisions using the U.S. Department of Energy's Fermilab Tevatron collider near Batavia, Illinois, whose budgetary woes shut it down last year.What is the Higgs boson and why is it important?Their announcement came two days before researchers at the Large Hadron Collider under the Alps are due to unveil their latest results at an eagerly awaited seminar at the CERN particle physics laboratory in Geneva, Switzerland."
2,"""The greatest fear of every doctor or nurse is that [a situation like Beck's] is going to happen in our emergency department,"" says Mason, the immediate past president of the Emergency Nurses Association.Released this week, a Harvard University analysis of more than 90,000 U.S. emergency room visits found that one in four heart-attack patients waited 50 minutes or more to be seen by a physician in an emergency room.These experts attributed long waits mostly to situations no one could control -- too many patients and too few beds.
Don't use an ambulance unless you really need it""There's a myth out there that if you arrive in an ambulance, you'll go straight back to the doctor,"" Mason says."
3,"London (CNN) -- A journalist at the News of the World, the UK newspaper that was closed by Rupert Murdoch last year, once said: ""This is what we do.
Yet its popular website, MailOnline, now depends on paparazzi images for its success.Leveson was appointed by Prime Minister David Cameron to carry out a year-long inquiry into press standards when it emerged in July 2011 the News of the World possibly intercepted voicemail messages left on a cell phone belonging to Milly Dowler, a murdered schoolgirl, in pursuit of stories.
Some senior police officers were too close to journalists but he found no evidence of corruption.Politicians were roundly criticized by Leveson for schmoozing newspaper editors and proprietors for more than 30 years, attending their weddings and birthday parties, enjoying intimate dinners and forming close friendships."
4,"Beijing and Hong Kong, China (CNN) -- China state media said Google's decision to quit censoring its China Web site ""violated its written promise"" and was ""totally wrong.
""It is not China that has undermined its image but rather it is the Google company itself.
""We intend to continue R&D work in China and also to maintain a sales presence there, though the size of the sales team will obviously be partially dependent on the ability of mainland Chinese users to access Google.com.hk,"" wrote Drummond of Google.The company on Monday also launched a dashboard page, which it promises to update regularly each day, that will show which Google services are available in China.
According to the page, YouTube, Google Sites and Google's Blogger apps were blocked, with some others partially blocked, such as Picasa.Kevin Voigt reported from Hong Kong and Lara Farrar reported from Beijing."
5,"(CNN) -- Visits to the controversial Yasukuni Shrine by Japanese officials, including the younger brother of Prime Minister Shinzo Abe, ignited criticism from China and Korea, which see the visits as an homage to Japan's past wartime aggressions.Over the weekend several officials, including Abe's brother, senior vice foreign minister Nobuo Kishi, visited the shrine, according to Kyodo News.
""On Sunday, Abe's cabinet minister Keiji Furuya visited the Yasukuni Shrine and maintained that he did not want to ""irritate neighboring nations.""
""The cycle of Japanese politicians visiting Yasukuni, prompting foreign criticisms, is well-worn.
""In a sense, if the Chinese government or Korean government criticizes Japan for doing this, this gives them (Japanese politicians) attention."
6,"Fish and Wildlife Service expedited its study of an interim drought plan submitted two weeks ago by the U.S. Army Corps of Engineers, and concluded that freshwater mussels and sturgeon -- kept alive by water from Georgia's Chattahoochee watershed under federal law -- will not be placed in jeopardy under the plan.However, there will be some effects, and some members of the species probably will die, Sam Hamilton, Southeast regional director for the Fish and Wildlife Service, told reporters.Under the plan, the amount of water released from the Jim Woodruff Dam in Chattahoochee, Florida, will be gradually decreased.
Jim Connaughton, chairman of the U.S. Council on Environmental Quality, told reporters Friday that negotiations continue to work through some of the issues facing Florida, but some concerns, ""at least with respect to the near term,"" have been addressed.Asked whether he thinks Crist would sue over the matter, Connaughton said governors of the three states have committed to finding a solution for future years if the drought persists.The governors will meet December 11 and 12 in Tallahassee, Florida, to continue negotiations, U.S."
7,"SEATTLE, Washington (CNN) -- A 66-year-old woman with stage 4 pancreatic cancer became the first person to use Washington's assisted suicide law, a nonprofit organization announced Friday.Compassion & Choices, an organization that says it advocates choice for the terminally ill, said Linda Fleming of Sequim, took her prescribed medication and died Thursday evening at home with her family, her dog and her physician.She had been diagnosed a month ago with stage 4 pancreatic cancer and was told she was ""actively dying,"" Compassion & Choices said in a written statement.
""The pain became unbearable, and it was only going to get worse,"" Fleming said, according to the organization.It said Fleming had worked with the organization's volunteers to consider her choices."
8,"(Laughs)CNN: Have you been keeping track of what's been going on in the presidential race?Haggard: I think an ex-convict has got a real good chance.
It is going to take more years than I got left.CNN: Why do you think things have gotten so contentious?Haggard: When we left the gold standard, when we left the silver standard, when we started issuing notes and papers and trying to give everybody everything.
But considering all where I have been with everything, and what I have been through, I am in real good condition.CNN: What are you going to do for your 75th birthday?Haggard: Take a big breath!"
9,"(CNN) -- The stepdaughter of Jesse Browning, the star of a reality show about loggers, was attacked and killed by the family's dog in Astoria, Oregon, an investigator said.Her mother found 4-year-old Ashlynn Anderson in the yard of their home after the attack Sunday afternoon, Clatsop County Sheriff Chief Deputy Paul Williams said Tuesday.The child was pronounced dead on arrival after she was flown by helicopter to a Portland hospital, Williams said.The family's two Rottweilers were placed in quarantine, he said.The dog believed to have bitten the child was 2½ years old, he added.Ashlynn's stepfather, Jesse Browning, is a logger who appears on the reality show the History Channel describes as a series about ""the treacherous life of Pacific Northwest timber cutters."""
10,"""Americans are largely split over the reform effort and its legality, according to polling.A March poll for CNN by ORC International found that while support for the law appears to be growing, 50% of Americans opposed the law, 43% supported it and 7% had no opinion.Nearly three-quarters of respondents said they wanted the Supreme Court to overturn at least some of the law's provisions, although the poll did not specify which ones.The law, which helped spur the creation of the conservative tea party movement, is likely to be a centerpiece of the presidential election campaign.Obama's presumptive Republican opponent, Mitt Romney, has promised to repeal the measure if elected.But 76% of respondents in the March CNN/ORC poll said a Supreme Court ruling against the law still wouldn't change their minds about whom to vote for in November.The 2010 passage of the Patient Protection and Affordable Care Act came after months of bare-knuckled fights over politics and policy and a century of federal efforts to offer universal health care.The legislation signed by Obama reached 2,700 pages, nine major sections and 450-some provisions.The first lawsuits challenging the health care overhaul began just hours after the president signed the legislation.Basics: Health care reform issues"
11,"I'm so sorry,"" she said tearfully, according to numerous South African media reports.Winfrey's representatives said she flew to South Africa twice in October to meet with parents of girls at the academy, although they would not specify what the meetings were about.Previously, Winfrey -- who has spoken publicly about the abuse she suffered as a child -- issued a statement on October 17 saying, ""Nothing is more serious or devastating to me than an allegation of misconduct by an adult against any girl at the academy.
""In the statement, Samuel said South African child protection services were notified and that the dorm parent was removed from the campus."
12,"From health care to taxes to environmental issues, we fight for policies that would give every American the best shot at a better life.But politicians in Washington don't want to answer this question.
They're too busy attacking anyone with whom they disagree.Exhibit A: Writing on these pages several days ago, Brad Woodhouse from American Bridge 21st Century declared that we want to ""buy elections"" and pursue a ""self-serving"" agenda.Exhibit B: Senate Majority Leader Harry Reid regularly takes to the Senate floor to denounce groups like Americans for Prosperity as ""un-American.""
Even The New York Times admits that ""jobs will indeed be lost"" and ""costs imposed"" by the new rules.These costs will disproportionately harm the middle class and the poor, who pay a greater percentage of their income on electricity and everyday goods.As for the effect on the climate?"
13,"Watch as ""Doomsday"" seed vault opens »  Eventually the Svalbard Global Seed Vault, as it is officially known, will hold as many as 4.5 million distinct samples of seeds -- or some 2 billion seeds in total -- encompassing almost every variety of most important food crops in the world, the Global Crop Diversity Trust said.The Norwegian government paid to build the vault in a mountainside near Longyearbyen, in the remote Svalbard islands between Norway and the North Pole.
""We must give ourselves every option in the future to use the whole array of plant diversity that is available to us,"" Smith told CNN.The idea for the Arctic seed bank dates to the 1980s but only became a possibility after the International Treaty on Plant Genetic Resources came into force in 2004, the Norwegian government said."
